step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
1,0,0,False,UNSUPPORTED,0.0,START,False,4.99998216196818,0.0,0.0,44.99962266365916,1.5384827083240165,4.0,0.0,2.8284457520314152,2.8284084973382897,3.4980520189606756,0.17451852382359803,0.17451852382359803,1,2
2,3,33,False,UNSUPPORTED,29.743974620712606,INTERIOR,False,8.062290002226414,44.99962266365916,1.5384827083240165,90.00025155756056,6.153862031243012,2.8284457520314152,2.8284084973382897,-1.756203076000836e-05,3.999999999961447,5.583153818513271,0.2785446749807107,0.4530631988043088,2,12
3,20,10,False,UNSUPPORTED,29.744999567015483,INTERIOR,False,4.999937440608632,90.00025155756056,6.153862031243012,134.99987422121973,7.692275937513976,-1.756203076000836e-05,3.999999999961447,-2.828420915623854,2.8284333338548957,3.498021759587946,0.17451701417736293,0.6275802129816717,12,13
4,23,43,False,UNSUPPORTED,29.745590876426633,INTERIOR,False,8.062234532063677,134.99987422121973,7.692275937513976,179.9994968848789,12.307655260432972,-2.828420915623854,2.8284333338548957,-3.9999999998457874,3.512406151888154e-05,5.583114290247968,0.27854270290754757,0.9061229158892192,13,23
5,40,20,False,UNSUPPORTED,29.745078400983346,INTERIOR,False,5.000071604487281,179.9994968848789,12.307655260432972,225.00012577878033,13.846137968756988,-3.9999999998457874,3.512406151888154e-05,-2.8284209156238522,-2.8284333338548975,3.4981151082494577,0.1745216713609953,1.0806445872502146,23,24
6,43,53,False,UNSUPPORTED,29.74507840098336,INTERIOR,False,8.062234532063673,225.00012577878033,13.846137968756988,269.99974844243945,18.46151729167598,-2.8284209156238522,-2.8284333338548975,-1.7562030760099897e-05,-3.999999999961447,5.5831142902479645,0.27854270290754746,1.3591872901577622,24,34
7,54,30,False,UNSUPPORTED,29.74507840098336,INTERIOR,False,5.000071604487281,269.99974844243945,18.46151729167598,315.0003773363409,19.999999999999996,-1.7562030760099897e-05,-3.999999999961447,2.8284457520314175,-2.8284084973382875,3.4981151082494573,0.17452167136099528,1.5337089615187574,34,35
8,55,31,False,UNSUPPORTED,53.13061482501557,BOUNDARY,False,4.999982161968179,315.0003773363409,19.999999999999996,360.0,18.46151729167598,2.8284457520314175,-2.8284084973382875,4.0,-9.797174393178826e-16,3.498052018960673,0.1745185238235979,1.7082274853423551,35,36
9,47,55,False,UNSUPPORTED,97.12430677400107,BOUNDARY,False,8.062234532063673,360.0,18.46151729167598,315.0003773363409,13.846137968756988,4.0,-9.797174393178826e-16,2.8284457520314175,-2.8284084973382875,5.5831142902479645,0.27854270290754746,1.9867701882499027,36,26
10,44,22,False,UNSUPPORTED,29.74507840098336,INTERIOR,False,5.000071604487281,315.0003773363409,13.846137968756988,269.99974844243945,12.307655260432972,2.8284457520314175,-2.8284084973382875,-1.7562030760099897e-05,-3.999999999961447,3.4981151082494577,0.1745216713609953,2.161291859610898,26,25
11,27,45,False,UNSUPPORTED,29.74507840098337,INTERIOR,False,8.062234532063675,269.99974844243945,12.307655260432972,225.00012577878033,7.692275937513976,-1.7562030760099897e-05,-3.999999999961447,-2.8284209156238522,-2.8284333338548975,5.583114290247966,0.2785427029075475,2.4398345625184454,25,15
12,24,12,False,UNSUPPORTED,29.746103333535107,INTERIOR,False,5.000026883927727,225.00012577878033,7.692275937513976,179.9994968848789,6.153862031243012,-2.8284209156238522,-2.8284333338548975,-3.9999999998457874,3.512406151888154e-05,3.498084849422467,0.17452016174198723,2.6143547242604326,15,14
13,7,35,False,UNSUPPORTED,29.746103333535107,INTERIOR,False,8.062234532063677,179.9994968848789,6.153862031243012,134.99987422121973,1.5384827083240165,-3.9999999998457874,3.512406151888154e-05,-2.828420915623854,2.8284333338548957,5.583114290247968,0.27854270290754757,2.89289742716798,14,4
14,4,2,False,UNSUPPORTED,29.744565930123784,INTERIOR,False,4.9999821619681795,134.99987422121973,1.5384827083240165,90.00025155756056,0.0,-2.828420915623854,2.8284333338548957,-1.756203076000836e-05,3.999999999961447,3.4980520189606765,0.17451852382359806,3.0674159509915784,4,3
15,1,1,False,STRONG_INTERSECTION,53.130614825015556,BOUNDARY,False,5.00007160448728,90.00025155756056,0.0,44.99962266365916,1.5384827083240165,-1.756203076000836e-05,3.999999999961447,2.8284457520314152,2.8284084973382897,3.498115108249457,0.17452167136099525,3.2419376223525735,3,2
16,2,32,False,STRONG_INTERSECTION,29.74507840098337,INTERIOR,False,8.062234532063675,44.99962266365916,1.5384827083240165,0.0,6.153862031243012,2.8284457520314152,2.8284084973382897,4.0,0.0,5.583114290247967,0.2785427029075475,3.520480325260121,2,10
17,16,8,False,UNSUPPORTED,97.12533172030395,BOUNDARY,False,4.999937440608632,0.0,6.153862031243012,44.99962266365916,7.692275937513976,4.0,0.0,2.8284457520314152,2.8284084973382897,3.4980217595879455,0.1745170141773629,3.694997339437484,10,11
18,19,41,False,UNSUPPORTED,29.744999567015455,INTERIOR,False,8.062290002226414,44.99962266365916,7.692275937513976,90.00025155756056,12.307655260432972,2.8284457520314152,2.8284084973382897,-1.756203076000836e-05,3.999999999961447,5.583153818513271,0.2785446749807107,3.9735420144181948,11,21
19,36,18,False,UNSUPPORTED,29.743974620712606,INTERIOR,False,4.99998216196818,90.00025155756056,12.307655260432972,134.99987422121973,13.846137968756988,-1.756203076000836e-05,3.999999999961447,-2.828420915623854,2.8284333338548957,3.4980520189606765,0.17451852382359806,4.1480605382417925,21,22
