step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
5,71,43,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789972,315.0,13.846153846153847,270.0,15.384615384615385,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.498066366782483,0.17451923963933444,0.8515852741549209,30,34
8,58,31,True,OVERPRINT,59.99927221917261,INTERIOR,False,4.999889998789972,315.0,10.76923076923077,270.0,9.23076923076923,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.4980663667824836,0.17451923963933444,1.354132069031173,26,21
11,66,18,True,OVERPRINT,179.99999914622634,INTERIOR,True,4.999889998789972,315.0,4.615384615384615,270.0,6.153846153846154,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.4980663667824836,0.17451923963933444,1.856678863907425,12,16
13,59,10,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,224.99999999999997,4.615384615384615,224.99999999999997,1.5384615384615385,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,2.1847064191443426,11,7
16,60,22,True,OVERPRINT,59.99927221917261,INTERIOR,False,5.0,180.0,6.153846153846154,180.0,9.23076923076923,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.0769230769230758,0.15350831559758316,2.666242289978843,15,20
19,67,9,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,135.0,4.615384615384615,135.0,1.5384615384615385,-2.82842712474619,2.8284271247461903,-2.82842712474619,2.8284271247461903,3.0769230769230766,0.15350831559758318,3.1477781608133437,10,6
22,68,13,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789974,90.0,6.153846153846154,45.0,4.615384615384615,2.4492935982947064e-16,4.0,2.8284271247461903,2.82842712474619,3.4980663667824836,0.17451923963933444,3.6503249556895954,14,9
25,65,27,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,90.0,9.23076923076923,135.0,10.76923076923077,2.4492935982947064e-16,4.0,-2.82842712474619,2.8284271247461903,3.4980663667824836,0.17451923963933444,4.152871750565847,19,24
28,64,33,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,45.0,10.76923076923077,45.0,13.846153846153847,2.8284271247461903,2.82842712474619,2.8284271247461903,2.82842712474619,3.0769230769230766,0.15350831559758318,4.655418545442099,23,27
34,70,0,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,45.0,1.5384615384615385,0.0,0.0,2.8284271247461903,2.82842712474619,4.0,0.0,3.498066366782483,0.17451923963933444,5.639501211152851,5,0
42,69,7,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789975,315.0,1.5384615384615385,360.0,0.0,2.8284271247461894,-2.8284271247461907,4.0,-9.797174393178826e-16,3.498066366782483,0.17451923963933444,7.035655128267525,8,4
50,63,35,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,224.99999999999997,10.76923076923077,224.99999999999997,13.846153846153847,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,8.368776273256946,25,29
52,61,47,True,OVERPRINT,59.99927221917261,INTERIOR,False,5.0,180.0,15.384615384615385,180.0,18.46153846153846,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.076923076923075,0.1535083155975831,8.696803828493863,33,38
61,62,39,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,135.0,13.846153846153847,90.0,15.384615384615385,-2.82842712474619,2.8284271247461903,2.4492935982947064e-16,4.0,3.498066366782483,0.17451923963933444,10.204444213122619,28,32
