step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
1,56,56,False,UNSUPPORTED,0.0,START,False,4.999889998789972,270.0,18.46153846153846,315.0,20.0,-7.347880794884119e-16,-4.0,2.8284271247461894,-2.8284271247461907,3.4980663667824836,0.17451923963933444,0.17451923963933444,39,44
2,57,57,False,UNSUPPORTED,60.001455561654744,BOUNDARY,False,4.999889998789975,315.0,20.0,360.0,18.46153846153846,2.8284271247461894,-2.8284271247461907,4.0,-9.797174393178826e-16,3.4980663667824836,0.17451923963933444,0.3490384792786689,44,40
3,49,49,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,5.0,360.0,18.46153846153846,360.0,15.384615384615385,4.0,-9.797174393178826e-16,4.0,-9.797174393178826e-16,3.076923076923075,0.1535083155975831,0.502546794876252,40,35
4,44,44,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,4.999889998789975,360.0,15.384615384615385,315.0,13.846153846153847,4.0,-9.797174393178826e-16,2.8284271247461894,-2.8284271247461907,3.498066366782483,0.17451923963933444,0.6770660345155864,35,30
5,71,43,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789972,315.0,13.846153846153847,270.0,15.384615384615385,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.498066366782483,0.17451923963933444,0.8515852741549209,30,34
6,43,43,False,CONTACT_SUPPORT,179.99999914622634,INTERIOR,True,4.999889998789972,270.0,15.384615384615385,315.0,13.846153846153847,-7.347880794884119e-16,-4.0,2.8284271247461894,-2.8284271247461907,3.498066366782483,0.17451923963933444,1.0261045137942553,34,30
7,36,36,False,CONTACT_SUPPORT,59.99927221917261,INTERIOR,False,5.0,315.0,13.846153846153847,315.0,10.76923076923077,2.8284271247461894,-2.8284271247461907,2.8284271247461894,-2.8284271247461907,3.0769230769230766,0.15350831559758318,1.1796128293918384,30,26
8,58,31,True,OVERPRINT,59.99927221917261,INTERIOR,False,4.999889998789972,315.0,10.76923076923077,270.0,9.23076923076923,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.4980663667824836,0.17451923963933444,1.354132069031173,26,21
9,23,23,False,UNSUPPORTED,59.99927221917261,INTERIOR,False,5.0,270.0,9.23076923076923,270.0,6.153846153846154,-7.347880794884119e-16,-4.0,-7.347880794884119e-16,-4.0,3.0769230769230758,0.15350831559758316,1.507640384628756,21,16
10,18,18,False,UNSUPPORTED,59.99927221917261,INTERIOR,False,4.999889998789972,270.0,6.153846153846154,315.0,4.615384615384615,-7.347880794884119e-16,-4.0,2.8284271247461894,-2.8284271247461907,3.4980663667824836,0.17451923963933444,1.6821596242680905,16,12
11,66,18,True,OVERPRINT,179.99999914622634,INTERIOR,True,4.999889998789972,315.0,4.615384615384615,270.0,6.153846153846154,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.4980663667824836,0.17451923963933444,1.856678863907425,12,16
12,17,17,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789975,270.0,6.153846153846154,224.99999999999997,4.615384615384615,-7.347880794884119e-16,-4.0,-2.8284271247461916,-2.8284271247461885,3.4980663667824854,0.17451923963933452,2.0311981035467594,16,11
13,59,10,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,224.99999999999997,4.615384615384615,224.99999999999997,1.5384615384615385,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,2.1847064191443426,11,7
14,10,10,False,CONTACT_SUPPORT,180.0,INTERIOR,True,5.0,224.99999999999997,1.5384615384615385,224.99999999999997,4.615384615384615,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,2.3382147347419258,7,11
15,16,16,False,CONTACT_SUPPORT,59.99927221917261,INTERIOR,False,4.999889998789972,224.99999999999997,4.615384615384615,180.0,6.153846153846154,-2.8284271247461916,-2.8284271247461885,-4.0,4.898587196589413e-16,3.498066366782482,0.17451923963933436,2.51273397438126,11,15
16,60,22,True,OVERPRINT,59.99927221917261,INTERIOR,False,5.0,180.0,6.153846153846154,180.0,9.23076923076923,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.0769230769230758,0.15350831559758316,2.666242289978843,15,20
17,22,22,False,CONTACT_SUPPORT,180.0,INTERIOR,True,5.0,180.0,9.23076923076923,180.0,6.153846153846154,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.0769230769230758,0.15350831559758316,2.8197506055764263,20,15
18,15,15,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789974,180.0,6.153846153846154,135.0,4.615384615384615,-4.0,4.898587196589413e-16,-2.82842712474619,2.8284271247461903,3.4980663667824836,0.17451923963933444,2.9942698452157606,15,10
19,67,9,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,135.0,4.615384615384615,135.0,1.5384615384615385,-2.82842712474619,2.8284271247461903,-2.82842712474619,2.8284271247461903,3.0769230769230766,0.15350831559758318,3.1477781608133437,10,6
20,9,9,False,CONTACT_SUPPORT,180.0,INTERIOR,True,5.0,135.0,1.5384615384615385,135.0,4.615384615384615,-2.82842712474619,2.8284271247461903,-2.82842712474619,2.8284271247461903,3.0769230769230766,0.15350831559758318,3.301286476410927,6,10
21,14,14,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789974,135.0,4.615384615384615,90.0,6.153846153846154,-2.82842712474619,2.8284271247461903,2.4492935982947064e-16,4.0,3.4980663667824836,0.17451923963933444,3.475805716050261,10,14
22,68,13,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789974,90.0,6.153846153846154,45.0,4.615384615384615,2.4492935982947064e-16,4.0,2.8284271247461903,2.82842712474619,3.4980663667824836,0.17451923963933444,3.6503249556895954,14,9
23,13,13,False,CONTACT_SUPPORT,180.0,INTERIOR,True,4.999889998789974,45.0,4.615384615384615,90.0,6.153846153846154,2.8284271247461903,2.82842712474619,2.4492935982947064e-16,4.0,3.4980663667824836,0.17451923963933444,3.8248441953289296,9,14
24,21,21,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,90.0,6.153846153846154,90.0,9.23076923076923,2.4492935982947064e-16,4.0,2.4492935982947064e-16,4.0,3.0769230769230758,0.15350831559758316,3.9783525109265128,14,19
25,65,27,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,90.0,9.23076923076923,135.0,10.76923076923077,2.4492935982947064e-16,4.0,-2.82842712474619,2.8284271247461903,3.4980663667824836,0.17451923963933444,4.152871750565847,19,24
26,27,27,False,CONTACT_SUPPORT,180.0,INTERIOR,True,4.999889998789974,135.0,10.76923076923077,90.0,9.23076923076923,-2.82842712474619,2.8284271247461903,2.4492935982947064e-16,4.0,3.4980663667824836,0.17451923963933444,4.327390990205181,24,19
27,26,26,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789974,90.0,9.23076923076923,45.0,10.76923076923077,2.4492935982947064e-16,4.0,2.8284271247461903,2.82842712474619,3.4980663667824836,0.17451923963933444,4.5019102298445155,19,23
28,64,33,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,45.0,10.76923076923077,45.0,13.846153846153847,2.8284271247461903,2.82842712474619,2.8284271247461903,2.82842712474619,3.0769230769230766,0.15350831559758318,4.655418545442099,23,27
29,33,33,False,CONTACT_SUPPORT,180.0,INTERIOR,True,5.0,45.0,13.846153846153847,45.0,10.76923076923077,2.8284271247461903,2.82842712474619,2.8284271247461903,2.82842712474619,3.0769230769230766,0.15350831559758318,4.808926861039682,27,23
30,25,25,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789974,45.0,10.76923076923077,0.0,9.23076923076923,2.8284271247461903,2.82842712474619,4.0,0.0,3.4980663667824836,0.17451923963933444,4.983446100679016,23,18
31,20,20,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,5.0,0.0,9.23076923076923,0.0,6.153846153846154,4.0,0.0,4.0,0.0,3.0769230769230758,0.15350831559758316,5.136954416276599,18,13
32,12,12,False,CONTACT_SUPPORT,59.99927221917264,BOUNDARY,False,4.999889998789974,0.0,6.153846153846154,45.0,4.615384615384615,4.0,0.0,2.8284271247461903,2.82842712474619,3.4980663667824836,0.17451923963933444,5.3114736559159335,13,9
33,8,8,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,45.0,4.615384615384615,45.0,1.5384615384615385,2.8284271247461903,2.82842712474619,2.8284271247461903,2.82842712474619,3.0769230769230766,0.15350831559758318,5.464981971513517,9,5
34,70,0,True,OVERPRINT,59.99927221917264,INTERIOR,False,4.999889998789974,45.0,1.5384615384615385,0.0,0.0,2.8284271247461903,2.82842712474619,4.0,0.0,3.498066366782483,0.17451923963933444,5.639501211152851,5,0
35,0,0,False,CONTACT_SUPPORT,180.0,BOUNDARY,False,4.999889998789974,0.0,0.0,45.0,1.5384615384615385,4.0,0.0,2.8284271247461903,2.82842712474619,3.498066366782483,0.17451923963933444,5.814020450792185,0,5
36,1,1,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789974,45.0,1.5384615384615385,90.0,0.0,2.8284271247461903,2.82842712474619,2.4492935982947064e-16,4.0,3.498066366782483,0.17451923963933444,5.988539690431519,5,1
37,2,2,False,CONTACT_SUPPORT,60.001455561654744,BOUNDARY,False,4.999889998789974,90.0,0.0,135.0,1.5384615384615385,2.4492935982947064e-16,4.0,-2.82842712474619,2.8284271247461903,3.498066366782483,0.17451923963933444,6.163058930070854,1,6
38,3,3,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789974,135.0,1.5384615384615385,180.0,0.0,-2.82842712474619,2.8284271247461903,-4.0,4.898587196589413e-16,3.498066366782483,0.17451923963933444,6.337578169710188,6,2
39,4,4,False,CONTACT_SUPPORT,60.00145556165476,BOUNDARY,False,4.999889998789972,180.0,0.0,224.99999999999997,1.5384615384615385,-4.0,4.898587196589413e-16,-2.8284271247461916,-2.8284271247461885,3.4980663667824814,0.17451923963933433,6.512097409349522,2,7
40,5,5,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789975,224.99999999999997,1.5384615384615385,270.0,0.0,-2.8284271247461916,-2.8284271247461885,-7.347880794884119e-16,-4.0,3.498066366782485,0.1745192396393345,6.686616648988856,7,3
41,6,6,False,UNSUPPORTED,60.001455561654744,BOUNDARY,False,4.999889998789972,270.0,0.0,315.0,1.5384615384615385,-7.347880794884119e-16,-4.0,2.8284271247461894,-2.8284271247461907,3.498066366782483,0.17451923963933444,6.861135888628191,3,8
42,69,7,True,OVERPRINT,60.001455561654744,INTERIOR,False,4.999889998789975,315.0,1.5384615384615385,360.0,0.0,2.8284271247461894,-2.8284271247461907,4.0,-9.797174393178826e-16,3.498066366782483,0.17451923963933444,7.035655128267525,8,4
43,7,7,False,CONTACT_SUPPORT,180.0,BOUNDARY,False,4.999889998789975,360.0,0.0,315.0,1.5384615384615385,4.0,-9.797174393178826e-16,2.8284271247461894,-2.8284271247461907,3.498066366782483,0.17451923963933444,7.210174367906859,4,8
44,11,11,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,5.0,315.0,1.5384615384615385,315.0,4.615384615384615,2.8284271247461894,-2.8284271247461907,2.8284271247461894,-2.8284271247461907,3.0769230769230766,0.15350831559758318,7.363682683504442,8,12
45,19,19,False,CONTACT_SUPPORT,59.99927221917264,INTERIOR,False,4.999889998789975,315.0,4.615384615384615,360.0,6.153846153846154,2.8284271247461894,-2.8284271247461907,4.0,-9.797174393178826e-16,3.4980663667824836,0.17451923963933444,7.5382019231437765,12,17
46,24,24,False,UNSUPPORTED,59.99927221917264,BOUNDARY,False,5.0,360.0,6.153846153846154,360.0,9.23076923076923,4.0,-9.797174393178826e-16,4.0,-9.797174393178826e-16,3.0769230769230758,0.15350831559758316,7.69171023874136,17,22
47,32,32,False,CONTACT_SUPPORT,59.99927221917264,BOUNDARY,False,4.999889998789975,360.0,9.23076923076923,315.0,10.76923076923077,4.0,-9.797174393178826e-16,2.8284271247461894,-2.8284271247461907,3.4980663667824836,0.17451923963933444,7.866229478380694,22,26
48,31,31,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789972,315.0,10.76923076923077,270.0,9.23076923076923,2.8284271247461894,-2.8284271247461907,-7.347880794884119e-16,-4.0,3.4980663667824836,0.17451923963933444,8.040748718020028,26,21
49,30,30,False,CONTACT_SUPPORT,60.001455561654744,INTERIOR,False,4.999889998789975,270.0,9.23076923076923,224.99999999999997,10.76923076923077,-7.347880794884119e-16,-4.0,-2.8284271247461916,-2.8284271247461885,3.498066366782486,0.17451923963933455,8.215267957659362,21,25
50,63,35,True,OVERPRINT,59.99927221917264,INTERIOR,False,5.0,224.99999999999997,10.76923076923077,224.99999999999997,13.846153846153847,-2.8284271247461916,-2.8284271247461885,-2.8284271247461916,-2.8284271247461885,3.0769230769230766,0.15350831559758318,8.368776273256946,25,29
51,41,41,False,UNSUPPORTED,59.99927221917261,INTERIOR,False,4.999889998789972,224.99999999999997,13.846153846153847,180.0,15.384615384615385,-2.8284271247461916,-2.8284271247461885,-4.0,4.898587196589413e-16,3.4980663667824814,0.17451923963933433,8.54329551289628,29,33
52,61,47,True,OVERPRINT,59.99927221917261,INTERIOR,False,5.0,180.0,15.384615384615385,180.0,18.46153846153846,-4.0,4.898587196589413e-16,-4.0,4.898587196589413e-16,3.076923076923075,0.1535083155975831,8.696803828493863,33,38
53,54,54,False,UNSUPPORTED,59.99927221917261,INTERIOR,False,4.999889998789972,180.0,18.46153846153846,224.99999999999997,20.0,-4.0,4.898587196589413e-16,-2.8284271247461916,-2.8284271247461885,3.4980663667824823,0.17451923963933438,8.871323068133197,38,43
