step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
2,102,46,True,OVERPRINT,120.96375653207352,INTERIOR,False,2.33238075793812,288.71287128712873,15.0,310.09900990099004,12.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,0.3935677736490792,54,46
4,114,81,True,OVERPRINT,120.96375653207352,INTERIOR,True,4.0,288.71287128712873,10.0,360.0,10.0,1.2833030792614728,-3.788552917244,4.0,-9.797174393178826e-16,4.976780441330364,0.24829258436047683,0.7871355472981584,38,39
7,110,77,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,7.5,242.3762376237624,7.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,1.4165812760896903,30,29
10,99,74,True,OVERPRINT,120.96375653207352,INTERIOR,True,4.0,288.71287128712873,5.0,360.0,5.0,1.2833030792614728,-3.788552917244,4.0,-9.797174393178826e-16,4.976780441330364,0.24829258436047683,2.046027004881222,22,23
14,100,70,True,OVERPRINT,180.0,INTERIOR,True,3.799999999999999,242.3762376237624,2.5,310.09900990099004,2.5,-1.8546541279413091,-3.544045437873259,2.5764416458015877,-3.0597301262985934,4.727941419263842,0.23587795514245277,2.9113506888152063,13,14
27,108,91,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,17.5,242.3762376237624,17.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,5.096565705564636,62,61
32,101,37,True,OVERPRINT,120.96375653207355,INTERIOR,False,2.332380757938121,242.3762376237624,12.5,263.76237623762376,10.0,-1.8546541279413091,-3.544045437873259,-0.4346086003418975,-3.9763193237602104,2.9118981645155033,0.14527518928860247,6.004147183715348,45,37
35,109,87,True,OVERPRINT,120.96375653207355,INTERIOR,True,4.0,263.76237623762376,15.0,192.47524752475252,15.0,-0.4346086003418975,-3.9763193237602104,-3.9055576822544276,-0.8640712879059361,4.976780441330362,0.24829258436047671,6.54299014665303,53,52
41,97,90,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.8000000000000007,213.86138613861388,17.5,146.13861386138612,17.5,-3.3215519310591897,-2.2287424187817146,-3.3215519310591892,2.2287424187817155,4.72794141926385,0.2358779551424532,7.711278838382244,60,59
43,98,86,True,OVERPRINT,120.96375653207355,INTERIOR,True,4.0,167.52475247524754,15.0,96.23762376237626,15.0,-3.905557682254428,0.8640712879059336,-0.43460860034189924,3.9763193237602104,4.976780441330365,0.24829258436047685,8.104846612031324,51,50
45,112,89,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.8,117.62376237623762,17.5,49.900990099009896,17.5,-1.8546541279413082,3.5440454378732595,2.5764416458015917,3.0597301262985903,4.727941419263848,0.23587795514245308,8.485999756462379,58,57
53,96,36,True,OVERPRINT,61.92751306414702,INTERIOR,False,2.33238075793812,213.86138613861388,12.5,192.47524752475252,10.0,-3.3215519310591897,-2.2287424187817146,-3.9055576822544276,-0.8640712879059361,2.9118981645155033,0.14527518928860247,9.932424197550773,44,36
58,113,73,True,OVERPRINT,180.0,INTERIOR,True,4.0,192.47524752475252,5.0,263.76237623762376,5.0,-3.9055576822544276,-0.8640712879059361,-0.4346086003418975,-3.9763193237602104,4.976780441330362,0.24829258436047671,10.96785232920941,20,21
63,117,69,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.8000000000000007,213.86138613861388,2.5,146.13861386138612,2.5,-3.3215519310591897,-2.2287424187817146,-3.3215519310591892,2.2287424187817155,4.72794141926385,0.2358779551424532,11.887848436578148,12,11
