step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
1,79,88,False,UNSUPPORTED,0.0,START,False,4.0,360.0,15.0,288.71287128712873,15.0,4.0,-9.797174393178826e-16,1.2833030792614728,-3.788552917244,4.976780441330364,0.24829258436047683,0.24829258436047683,55,54
2,102,46,True,OVERPRINT,120.96375653207352,INTERIOR,False,2.33238075793812,288.71287128712873,15.0,310.09900990099004,12.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,0.3935677736490792,54,46
3,55,38,False,UNSUPPORTED,61.92751306414702,INTERIOR,False,2.33238075793812,310.09900990099004,12.5,288.71287128712873,10.0,2.5764416458015877,-3.0597301262985934,1.2833030792614728,-3.788552917244,2.911898164515501,0.14527518928860236,0.5388429629376815,46,38
4,114,81,True,OVERPRINT,120.96375653207352,INTERIOR,True,4.0,288.71287128712873,10.0,360.0,10.0,1.2833030792614728,-3.788552917244,4.0,-9.797174393178826e-16,4.976780441330364,0.24829258436047683,0.7871355472981584,38,39
5,56,81,False,CONTACT_SUPPORT,180.0,BOUNDARY,False,4.0,360.0,10.0,288.71287128712873,10.0,4.0,-9.797174393178826e-16,1.2833030792614728,-3.788552917244,4.976780441330364,0.24829258436047683,1.0354281316586351,39,38
6,44,30,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,288.71287128712873,10.0,310.09900990099004,7.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,1.1807033209472375,38,30
7,110,77,True,OVERPRINT,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,7.5,242.3762376237624,7.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,1.4165812760896903,30,29
8,43,77,False,CONTACT_SUPPORT,180.0,INTERIOR,True,3.799999999999999,242.3762376237624,7.5,310.09900990099004,7.5,-1.8546541279413091,-3.544045437873259,2.5764416458015877,-3.0597301262985934,4.727941419263842,0.23587795514245277,1.652459231232143,29,30
9,32,22,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,310.09900990099004,7.5,288.71287128712873,5.0,2.5764416458015877,-3.0597301262985934,1.2833030792614728,-3.788552917244,2.911898164515501,0.14527518928860236,1.7977344205207455,30,22
10,99,74,True,OVERPRINT,120.96375653207352,INTERIOR,True,4.0,288.71287128712873,5.0,360.0,5.0,1.2833030792614728,-3.788552917244,4.0,-9.797174393178826e-16,4.976780441330364,0.24829258436047683,2.046027004881222,22,23
11,33,74,False,CONTACT_SUPPORT,180.0,BOUNDARY,False,4.0,360.0,5.0,288.71287128712873,5.0,4.0,-9.797174393178826e-16,1.2833030792614728,-3.788552917244,4.976780441330364,0.24829258436047683,2.2943195892416988,23,22
12,21,14,False,CONTACT_SUPPORT,120.96375653207352,INTERIOR,False,2.33238075793812,288.71287128712873,5.0,310.09900990099004,2.5,1.2833030792614728,-3.788552917244,2.5764416458015877,-3.0597301262985934,2.911898164515501,0.14527518928860236,2.439594778530301,22,14
13,20,70,False,UNSUPPORTED,120.96375653207352,INTERIOR,True,3.799999999999999,310.09900990099004,2.5,242.3762376237624,2.5,2.5764416458015877,-3.0597301262985934,-1.8546541279413091,-3.544045437873259,4.727941419263842,0.23587795514245277,2.6754727336727537,14,13
