step,eid,source_edge_id,duplicate,support_type,turn_deg,transition_location,avoidable_interior_bend,length_2d,A_start_deg,Z_start_mm,A_end_deg,Z_end_mm,X3_start_mm,Y3_start_mm,X3_end_mm,Y3_end_mm,surface_length_mm,dE_mm,E_abs_mm,from_node,to_node
1,80,80,False,UNSUPPORTED,0.0,START,False,4.9999520497700765,0.0,18.000016970581495,35.99969452953305,16.000033941162997,4.0,0.0,3.236080512480776,2.3511237561519724,3.2119109171397393,0.16024288629037325,0.16024288629037325,49,44
2,71,71,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126317,35.99969452953305,16.000033941162997,72.00040729395593,13.9999943431395,3.236080512480776,2.3511237561519724,1.2360409346689587,3.804234851822727,3.212001764570579,0.16024741868710074,0.320490304977474,44,39
3,62,62,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,72.00040729395593,13.9999943431395,108.00010182348899,12.000011313720998,1.2360409346689587,3.804234851822727,-1.2360747381977384,3.8042238684900487,3.211910917139742,0.1602428862903734,0.4807331912678474,39,34
4,53,53,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,108.00010182348899,12.000011313720998,143.99979635302205,10.000028284302497,-1.2360747381977384,3.8042238684900487,-3.2360596207946974,2.3511525111447105,3.211910917139742,0.1602428862903734,0.6409760775582208,34,29
5,44,44,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126318,143.99979635302205,10.000028284302497,180.00050911744492,7.999988686279002,-3.2360596207946974,2.3511525111447105,-3.999999999842086,-3.554310277291415e-05,3.212001764570578,0.16024741868710068,0.8012234962453215,29,24
6,35,35,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,180.00050911744492,7.999988686279002,216.00020364697798,6.000005656860499,-3.999999999842086,-3.554310277291415e-05,-3.236059620794696,-2.3511525111447127,3.2119109171397424,0.1602428862903734,0.9614663825356949,24,19
7,26,26,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,216.00020364697798,6.000005656860499,251.999898176511,4.000022627441996,-3.236059620794696,-2.3511525111447127,-1.2360747381977386,-3.8042238684900487,3.2119109171397415,0.16024288629037337,1.1217092688260684,19,14
8,17,17,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126317,251.999898176511,4.000022627441996,288.0006109409339,1.9999830294185028,-1.2360747381977386,-3.8042238684900487,1.2361085416289197,-3.8042128848570007,3.212001764570577,0.16024741868710063,1.281956687513169,14,9
9,8,8,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,288.0006109409339,1.9999830294185028,324.00030547046697,0.0,1.2361085416289197,-3.8042128848570007,3.2360805124807777,-2.3511237561519702,3.211910917139744,0.1602428862903735,1.4421995738035425,9,4
10,9,9,False,UNSUPPORTED,90.00000000000001,BOUNDARY,False,4.9999520497700765,324.00030547046697,0.0,360.0,1.9999830294185028,3.2360805124807777,-2.3511237561519702,4.0,-9.797174393178826e-16,3.211910917139741,0.16024288629037334,1.6024424600939158,4,10
11,19,19,False,UNSUPPORTED,89.99918971900397,BOUNDARY,False,5.000022760948194,360.0,1.9999830294185028,324.00030547046697,4.000022627441996,4.0,-9.797174393178826e-16,3.2360805124807777,-2.3511237561519702,3.2119461414135535,0.1602446436365292,1.762687103730445,10,15
12,28,28,False,UNSUPPORTED,0.00081028066987462,INTERIOR,False,4.9999520497700765,324.00030547046697,4.000022627441996,288.0006109409339,6.000005656860499,3.2360805124807777,-2.3511237561519702,1.2361085416289197,-3.8042128848570007,3.2119109171397446,0.16024288629037353,1.9229299900208185,15,20
13,27,27,False,STRONG_INTERSECTION,89.99918971900398,INTERIOR,True,5.0000227609481955,288.0006109409339,6.000005656860499,251.999898176511,4.000022627441996,1.2361085416289197,-3.8042128848570007,-1.2360747381977386,-3.8042238684900487,3.21196654090676,0.16024566137137758,2.083175651392196,20,14
14,16,16,False,STRONG_INTERSECTION,0.0016205620144904911,INTERIOR,False,5.000022760948194,251.999898176511,4.000022627441996,216.00020364697798,1.9999830294185028,-1.2360747381977386,-3.8042238684900487,-3.236059620794696,-2.3511525111447127,3.2119461414135535,0.1602446436365292,2.243420295028725,14,8
15,5,5,False,UNSUPPORTED,0.00081028066987462,INTERIOR,False,4.9999520497700765,216.00020364697798,1.9999830294185028,180.00050911744492,0.0,-3.236059620794696,-2.3511525111447127,-3.999999999842086,-3.554310277291415e-05,3.211910917139743,0.16024288629037342,2.4036631813190983,8,2
16,4,4,False,UNSUPPORTED,89.99918971900398,BOUNDARY,False,5.0000227609481955,180.00050911744492,0.0,143.99979635302205,1.9999830294185028,-3.999999999842086,-3.554310277291415e-05,-3.2360596207946974,2.3511525111447105,3.2119665409067597,0.16024566137137755,2.5639088426904757,2,7
17,13,13,False,UNSUPPORTED,0.0016205620144904911,INTERIOR,False,5.000022760948194,143.99979635302205,1.9999830294185028,108.00010182348899,4.000022627441996,-3.2360596207946974,2.3511525111447105,-1.2360747381977384,3.8042238684900487,3.2119461414135553,0.1602446436365293,2.724153486327005,7,12
18,22,22,False,UNSUPPORTED,0.00081028066987462,INTERIOR,False,4.999952049770077,108.00010182348899,4.000022627441996,72.00040729395593,6.000005656860499,-1.2360747381977384,3.8042238684900487,1.2360409346689587,3.804234851822727,3.2119109171397433,0.16024288629037345,2.8843963726173785,12,17
19,31,31,False,UNSUPPORTED,0.0008102811196750805,INTERIOR,False,5.000022760948194,72.00040729395593,6.000005656860499,35.99969452953305,7.999988686279002,1.2360409346689587,3.804234851822727,3.236080512480776,2.3511237561519724,3.2119665409067597,0.16024566137137755,3.044642033988756,17,22
20,40,40,False,UNSUPPORTED,0.0016205620144904911,INTERIOR,False,5.0000227609481955,35.99969452953305,7.999988686279002,0.0,10.000028284302497,3.236080512480776,2.3511237561519724,4.0,0.0,3.211946141413556,0.16024464363652935,3.2048866776252853,22,27
21,50,50,False,UNSUPPORTED,89.99918971900398,BOUNDARY,False,4.9999520497700765,0.0,10.000028284302497,35.99969452953305,12.000011313720998,4.0,0.0,3.236080512480776,2.3511237561519724,3.2119109171397415,0.16024288629037337,3.3651295639156587,27,33
22,61,61,False,STRONG_INTERSECTION,0.00081028066987462,INTERIOR,False,5.000022760948194,35.99969452953305,12.000011313720998,72.00040729395593,13.9999943431395,3.236080512480776,2.3511237561519724,1.2360409346689587,3.804234851822727,3.2119665409067593,0.16024566137137755,3.525375225287036,33,39
23,72,72,False,STRONG_INTERSECTION,0.0016205620144904911,INTERIOR,False,5.0000227609481955,72.00040729395593,13.9999943431395,108.00010182348899,16.000033941162997,1.2360409346689587,3.804234851822727,-1.2360747381977384,3.8042238684900487,3.2119461414135575,0.1602446436365294,3.6856198689235655,39,45
24,83,83,False,UNSUPPORTED,0.0008102820192752522,INTERIOR,False,4.9999520497700765,108.00010182348899,16.000033941162997,143.99979635302205,18.000016970581495,-1.2360747381977384,3.8042238684900487,-3.2360596207946974,2.3511525111447105,3.2119109171397398,0.16024288629037328,3.845862755213939,45,51
25,94,94,False,UNSUPPORTED,0.00081028066987462,INTERIOR,False,5.000022760948195,143.99979635302205,18.000016970581495,180.00050911744492,20.0,-3.2360596207946974,2.3511525111447105,-3.999999999842086,-3.554310277291415e-05,3.211966540906761,0.16024566137137763,4.006108416585317,51,57
26,95,95,False,UNSUPPORTED,89.99918971900397,BOUNDARY,False,4.9999520497700765,180.00050911744492,20.0,216.00020364697798,18.000016970581495,-3.999999999842086,-3.554310277291415e-05,-3.236059620794696,-2.3511525111447127,3.211910917139744,0.1602428862903735,4.16635130287569,57,52
27,86,86,False,UNSUPPORTED,8.537736462515939e-07,INTERIOR,False,4.9999520497700765,216.00020364697798,18.000016970581495,251.999898176511,16.000033941162997,-3.236059620794696,-2.3511525111447127,-1.2360747381977386,-3.8042238684900487,3.211910917139738,0.1602428862903732,4.326594189166063,52,47
28,77,77,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126318,251.999898176511,16.000033941162997,288.0006109409339,13.9999943431395,-1.2360747381977386,-3.8042238684900487,1.2361085416289197,-3.8042128848570007,3.212001764570579,0.16024741868710074,4.486841607853164,47,42
29,68,68,False,UNSUPPORTED,0.0,INTERIOR,False,4.9999520497700765,288.0006109409339,13.9999943431395,324.00030547046697,12.000011313720998,1.2361085416289197,-3.8042128848570007,3.2360805124807777,-2.3511237561519702,3.2119109171397433,0.16024288629037345,4.647084494143538,42,37
30,59,59,False,UNSUPPORTED,8.537736462515939e-07,INTERIOR,False,4.9999520497700765,324.00030547046697,12.000011313720998,360.0,10.000028284302497,3.2360805124807777,-2.3511237561519702,4.0,-9.797174393178826e-16,3.21191091713974,0.1602428862903733,4.807327380433911,37,32
31,49,49,False,UNSUPPORTED,89.99918971900397,BOUNDARY,False,5.000022760948195,360.0,10.000028284302497,324.00030547046697,7.999988686279002,4.0,-9.797174393178826e-16,3.2360805124807777,-2.3511237561519702,3.211946141413555,0.16024464363652927,4.96757202407044,32,26
32,38,38,False,CONTACT_SUPPORT,0.0008102811196750805,INTERIOR,False,4.9999520497700765,324.00030547046697,7.999988686279002,288.0006109409339,6.000005656860499,3.2360805124807777,-2.3511237561519702,1.2361085416289197,-3.8042128848570007,3.2119109171397437,0.16024288629037348,5.127814910360814,26,20
33,37,37,False,CONTACT_SUPPORT,89.99918971900397,INTERIOR,True,5.000022760948195,288.0006109409339,6.000005656860499,251.999898176511,7.999988686279002,1.2361085416289197,-3.8042128848570007,-1.2360747381977386,-3.8042238684900487,3.2119665409067597,0.16024566137137755,5.288060571732192,20,25
34,46,46,False,UNSUPPORTED,0.0016205617895902766,INTERIOR,False,5.000022760948195,251.999898176511,7.999988686279002,216.00020364697798,10.000028284302497,-1.2360747381977386,-3.8042238684900487,-3.236059620794696,-2.3511525111447127,3.211946141413555,0.16024464363652927,5.4483052153687215,25,30
35,56,56,False,UNSUPPORTED,89.99918971900397,INTERIOR,True,4.9999520497700765,216.00020364697798,10.000028284302497,251.999898176511,12.000011313720998,-3.236059620794696,-2.3511525111447127,-1.2360747381977386,-3.8042238684900487,3.21191091713974,0.1602428862903733,5.608548101659094,30,36
36,67,67,False,STRONG_INTERSECTION,0.00081028066987462,INTERIOR,False,5.000022760948195,251.999898176511,12.000011313720998,288.0006109409339,13.9999943431395,-1.2360747381977386,-3.8042238684900487,1.2361085416289197,-3.8042128848570007,3.211966540906759,0.16024566137137752,5.768793763030472,36,42
37,78,78,False,STRONG_INTERSECTION,0.0016205617895902766,INTERIOR,False,5.000022760948195,288.0006109409339,13.9999943431395,324.00030547046697,16.000033941162997,1.2361085416289197,-3.8042128848570007,3.2360805124807777,-2.3511237561519702,3.211946141413559,0.1602446436365295,5.929038406667002,42,48
38,88,88,False,UNSUPPORTED,89.99918971900397,INTERIOR,True,4.9999520497700765,324.00030547046697,16.000033941162997,288.0006109409339,18.000016970581495,3.2360805124807777,-2.3511237561519702,1.2361085416289197,-3.8042128848570007,3.211910917139741,0.16024288629037334,6.089281292957375,48,53
39,97,97,False,UNSUPPORTED,0.00081028066987462,INTERIOR,False,5.000022760948195,288.0006109409339,18.000016970581495,251.999898176511,20.0,1.2361085416289197,-3.8042128848570007,-1.2360747381977386,-3.8042238684900487,3.211966540906761,0.16024566137137763,6.249526954328753,53,58
40,96,96,False,STRONG_INTERSECTION,89.99918971900397,BOUNDARY,False,4.9999520497700765,251.999898176511,20.0,216.00020364697798,18.000016970581495,-1.2360747381977386,-3.8042238684900487,-3.236059620794696,-2.3511525111447127,3.2119109171397424,0.1602428862903734,6.409769840619127,58,52
41,85,85,False,STRONG_INTERSECTION,8.537736462515939e-07,INTERIOR,False,4.9999520497700765,216.00020364697798,18.000016970581495,180.00050911744492,16.000033941162997,-3.236059620794696,-2.3511525111447127,-3.999999999842086,-3.554310277291415e-05,3.2119109171397398,0.16024288629037328,6.5700127269095,52,46
42,74,74,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126318,180.00050911744492,16.000033941162997,143.99979635302205,13.9999943431395,-3.999999999842086,-3.554310277291415e-05,-3.2360596207946974,2.3511525111447105,3.212001764570579,0.16024741868710074,6.730260145596601,46,40
43,63,63,False,STRONG_INTERSECTION,0.0,INTERIOR,False,4.9999520497700765,143.99979635302205,13.9999943431395,108.00010182348899,12.000011313720998,-3.2360596207946974,2.3511525111447105,-1.2360747381977384,3.8042238684900487,3.211910917139742,0.1602428862903734,6.890503031886975,40,34
44,52,52,False,STRONG_INTERSECTION,0.0,INTERIOR,False,4.9999520497700765,108.00010182348899,12.000011313720998,72.00040729395593,10.000028284302497,-1.2360747381977384,3.8042238684900487,1.2360409346689587,3.804234851822727,3.211910917139742,0.1602428862903734,7.050745918177348,34,28
45,41,41,False,STRONG_INTERSECTION,0.0,INTERIOR,False,5.000093471126317,72.00040729395593,10.000028284302497,35.99969452953305,7.999988686279002,1.2360409346689587,3.804234851822727,3.236080512480776,2.3511237561519724,3.2120017645705783,0.1602474186871007,7.210993336864449,28,22
46,30,30,False,STRONG_INTERSECTION,0.0,INTERIOR,False,4.9999520497700765,35.99969452953305,7.999988686279002,0.0,6.000005656860499,3.236080512480776,2.3511237561519724,4.0,0.0,3.2119109171397424,0.1602428862903734,7.371236223154823,22,16
47,20,20,False,UNSUPPORTED,90.00000000000001,BOUNDARY,False,4.999952049770077,0.0,6.000005656860499,35.99969452953305,4.000022627441996,4.0,0.0,3.236080512480776,2.3511237561519724,3.211910917139743,0.16024288629037342,7.531479109445197,16,11
48,11,11,False,UNSUPPORTED,0.0,INTERIOR,False,5.000093471126315,35.99969452953305,4.000022627441996,72.00040729395593,1.9999830294185028,3.236080512480776,2.3511237561519724,1.2360409346689587,3.804234851822727,3.212001764570577,0.16024741868710063,7.691726528132298,11,6
49,2,2,False,UNSUPPORTED,0.0,INTERIOR,False,4.999952049770077,72.00040729395593,1.9999830294185028,108.00010182348899,0.0,1.2360409346689587,3.804234851822727,-1.2360747381977384,3.8042238684900487,3.211910917139743,0.16024288629037342,7.851969414422672,6,1
